date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:31	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20May%202018%2004:23:31%20GMT	http://blogs.pingpoet.com/robots.txt		(from )
21:23:31	73149/73149	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:31%20GMT	http://blogs.pingpoet.com/	./httrack/blogs.pingpoet.com/index.html	(from )
21:23:32	158/158	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20May%202018%2004:23:32%20GMT	http://blogs.pingpoet.com/overflow	./httrack/blogs.pingpoet.com/overflow.0.delayed	(from http://blogs.pingpoet.com/)
21:23:33	1270/1270	U-----	200	untouched ('OK')	text/css	etag:%220cadc896fc4c61:0%22	http://blogs.pingpoet.com/Style.css	./httrack/blogs.pingpoet.com/Style.css	(from http://blogs.pingpoet.com/)
21:23:33	1171/1171	U-----	200	untouched ('OK')	text/css	etag:%220cadc896fc4c61:0%22	http://blogs.pingpoet.com/blue.css	./httrack/blogs.pingpoet.com/blue.css	(from http://blogs.pingpoet.com/)
21:23:33	4938/4938	U-----	200	untouched ('')	image/png	etag:%22057e8646fc4c61:0%22	http://blogs.pingpoet.com/images/PoweredBySubtext85x33.png	./httrack/blogs.pingpoet.com/images/PoweredBySubtext85x33.png	(from http://blogs.pingpoet.com/)
21:23:33	1070/1070	U--M-Z	200	updated ('OK')	text/xml	date:Mon,%2007%20May%202018%2004:23:33%20GMT	http://blogs.pingpoet.com/Opml.aspx	./httrack/blogs.pingpoet.com/Opml.aspx	(from http://blogs.pingpoet.com/)
21:23:34	0/-1	---M--	301	error ('')			http://blogs.pingpoet.com/overflow	./httrack/blogs.pingpoet.com/overflow.1.delayed	(from http://blogs.pingpoet.com/)
21:23:34	0/0	U--M--	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:34%20GMT	http://blogs.pingpoet.com/MainFeed.aspx?GroupID=2	./httrack/blogs.pingpoet.com/MainFeede962.html	(from http://blogs.pingpoet.com/)
21:23:34	0/0	U--M--	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:34%20GMT	http://blogs.pingpoet.com/MainFeed.aspx?GroupID=4	./httrack/blogs.pingpoet.com/MainFeed4f58.html	(from http://blogs.pingpoet.com/)
21:23:34	82827/82827	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:34%20GMT	http://blogs.pingpoet.com/overflow/	./httrack/blogs.pingpoet.com/overflow/index.html	(from http://blogs.pingpoet.com/)
21:23:36	2433/-1	---M--	500	error ('500%20Internal%20Server%20Error')	text/html	date:Mon,%2007%20May%202018%2004:23:34%20GMT	http://blogs.pingpoet.com/MainFeed.aspx	./httrack/blogs.pingpoet.com/MainFeed.html	(from http://blogs.pingpoet.com/)
21:23:36	156/156	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20May%202018%2004:23:34%20GMT	http://blogs.pingpoet.com/vbguru	./httrack/blogs.pingpoet.com/vbguru.2.delayed	(from http://blogs.pingpoet.com/)
21:23:36	114251/114251	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:35%20GMT	http://blogs.pingpoet.com/thoughtChain/	./httrack/blogs.pingpoet.com/thoughtChain/index.html	(from http://blogs.pingpoet.com/)
21:23:36	69531/69531	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2007%20May%202018%2004:23:35%20GMT	http://blogs.pingpoet.com/VBGuru/	./httrack/blogs.pingpoet.com/VBGuru/index.html	(from http://blogs.pingpoet.com/)
21:23:38	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20May%202018%2004:23:37%20GMT	http://blogs.pingpoet.com/kidtheexperiment/	./httrack/blogs.pingpoet.com/kidtheexperiment/index.html	(from http://blogs.pingpoet.com/)
